Removed Pin From Net: NetName=VCC Pin=D1-3
Removed Pin From Net: NetName=MCU_G_LED Pin=D3-1
Removed Pin From Net: NetName=MCU_R_LED Pin=D3-4
Removed Pin From Net: NetName=GND Pin=D4-1
Removed Pin From Net: NetName=MAIN_nFAULT Pin=D4-4
Removed Pin From Net: NetName=GND Pin=D5-1
Removed Pin From Net: NetName=DROGUE_nFAULT Pin=D5-4
Removed Pin From Net: NetName=SWDIO Pin=J5-02
Removed Pin From Net: NetName=GND Pin=J5-03
Removed Pin From Net: NetName=SWCLK Pin=J5-04
Removed Pin From Net: NetName=GND Pin=J5-05
Removed Pin From Net: NetName=SWO Pin=J5-06
Removed Pin From Net: NetName=RESETN Pin=J5-10
Removed Pin From Net: NetName=GND Pin=P2-1
Removed Pin From Net: NetName=MAIN_MATCH Pin=P2-3
Removed Member From Class: ClassName=OC_PROT Member=D1
Removed Member From Class: ClassName=EJECTION_CIRCUIT_0 Member=D4
Removed Member From Class: ClassName=EJECTION_CIRCUIT_0 Member=D5
Change Footprint: Footprint Not Found FP-53261-0371-MFG
Change Component Comment : Designator=J5 Old Comment=FTSH-105-01-F-D-RA-K New Comment=53261-0371
Change Component Designator: OldDesignator=J3 NewDesignator=J6
Change Component Designator: OldDesignator=J4 NewDesignator=J7
Change Component Designator: OldDesignator=P1 NewDesignator=P3
Change Component Designator: OldDesignator=P2 NewDesignator=P1
Change Component Designator: OldDesignator=P3 NewDesignator=P2
Change Managed Component Library Link : Designator=J5 Old VaultGUID=275DD9A0-BDD9-47D7-8C38-F690E90B05B9 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=12c82e73-564f-4a75-92c8-5d96e29c0ce2 New ItemGUID=59699DB6-132F-4EE4-858B-AB1D2764248E Old RevisionGUID=30a81c73-19e9-4229-969c-265067028549 New RevisionGUID=A7DD21DA-2074-4E84-81EF-D7BE7334BB4E
Change component parameters: Designator = "J5" ("J5"); Footprint = "FTSH-105-01-F-D-RA-K-Footprint-1"; UniqueID = "\XOYAQSDJ" ("\XOYAQSDJ")
Add component (AddParameter): Name = "Operating Pressure Max"; Value = "1200mbar"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Pressure Min"; Value = "10mbar"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Max"; Value = "85degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature Min"; Value = "-40degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "8-Pin Surface Mount Device, Body 5 x 3 mm, Pitch 1.25 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "MS561101BA03-50-8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pressure Type"; Value = "Barometric"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sensor Case Style"; Value = "QFN"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supply Current"; Value = "12.5µA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supply Voltage Max"; Value = "3.6V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supply Voltage Min"; Value = "1.8V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SVHC"; Value = "NoSVHC(20-Jun-2013)"; VariantName = "[No Variations]"
Added Component: Designator=U6(SOT-23-OT5_M)
Add component (AddParameter): Name = "Code_IPC"; Value = "SOT23-5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "revA, Aug-2007"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "5-Lead Plastic Small Outline Transistor (OT) [SOT-23]"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "SOT-23-OT5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "revBB, Aug-2009"; VariantName = "[No Variations]"
Added Component: Designator=U7(FP-CP-32-12-MFG)
Add component (AddParameter): Name = "Case/Package"; Value = "LFCSP EP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.75mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Interface"; Value = "I2C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Contains Lead"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "5.1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "105°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Supply Voltage"; Value = "1.89V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Supply Voltage"; Value = "1.71V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of A/D Converters"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Bits"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Inputs"; Value = "4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "32"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Supply Current"; Value = "70mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "490"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tray"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resolution"; Value = "10b"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "AUTOMOTIVE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "5.1mm"; VariantName = "[No Variations]"
Added Component: Designator=U8(FP-LQFP100-1L-IPC_C)
Added Component: Designator=U9(FP-DCN0008A-MFG)
Add component (AddParameter): Name = "Case/Package"; Value = "SOT-23-8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Data Rate"; Value = "1Mbps"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Added Component: Designator=U10(TCAN1146DYYRQ1-Footprint-1)
Add component (AddParameter): Name = "Case/Package"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Design Item ID"; Value = "CMP-015-00012-2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Supply Voltage"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Supply Voltage"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = "TCAN1146DYYRQ1.SchLib"; VariantName = "[No Variations]"
Added Component: Designator=U11(AP7375-50SA-7-Footprint-1)
Add component (AddParameter): Name = "Case/Package"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Supply Voltage"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Supply Voltage"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Output Voltage"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pins"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=Y1(FP-ABM8G-MFG)
Add component (AddParameter): Name = "Case/Package"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = "50R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency"; Value = "28.63636MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency Stability"; Value = "30ppm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency Tolerance"; Value = "20ppm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "3.2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Load Capacitance"; Value = "18pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Frequency"; Value = "28.6 MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "ABM8G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series Resistance"; Value = "50R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "20ppm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "2.5mm"; VariantName = "[No Variations]"
Added Component: Designator=Y2(FP-ABM8-MFG)
Add component (AddParameter): Name = "Case/Package"; Value = "CSMD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "2.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = "35R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency"; Value = "48MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency Stability"; Value = "50ppm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency Tolerance"; Value = "20ppm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.031inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "3.2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Load Capacitance"; Value = "18pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "70°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-20°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Frequency"; Value = "48 MHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistor Type"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "ABM8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series Resistance"; Value = "35R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "20ppm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.098inch"; VariantName = "[No Variations]"
Added Component: Designator=Y3(FP-ECX-1210-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Crys"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://ecsxtal.com/store/pdf/ECX-1210.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Crystals / Oscillators"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "Crystals"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "CRYSTAL 32.7680KHZ 12.5PF SMD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Esr"; Value = "90kO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency"; Value = "32.768kHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Load Capacitance"; Value = "12.5pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "ECS International"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "ECS-.327-12.5-1210-TR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/ecs-.327-12.5-1210-tr-ecs+international-81221340"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "ECX-1210"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "ECX-1210"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-40°C to +85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-40°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "20ppm"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C1-1
Added Pin To Net: NetName=GND Pin=C2-1
Added Pin To Net: NetName=GND Pin=C3-2
Added Pin To Net: NetName=GND Pin=C4-1
Added Pin To Net: NetName=GND Pin=C5-1
Added Pin To Net: NetName=GND Pin=C6-1
Added Pin To Net: NetName=GND Pin=C7-1
Added Pin To Net: NetName=GND Pin=C8-1
Added Pin To Net: NetName=NetC9_2 Pin=C9-2
Added Pin To Net: NetName=GND Pin=C10-2
Added Pin To Net: NetName=GND Pin=C11-1
Added Pin To Net: NetName=GND Pin=C13-1
Added Pin To Net: NetName=GND Pin=C15-1
Added Pin To Net: NetName=GND Pin=C16-1
Added Pin To Net: NetName=GND Pin=C17-1
Added Pin To Net: NetName=GND Pin=C18-1
Added Pin To Net: NetName=GND Pin=C19-1
Added Pin To Net: NetName=GND Pin=C20-1
Added Pin To Net: NetName=GND Pin=C21-1
Added Pin To Net: NetName=GND Pin=C22-1
Added Pin To Net: NetName=GND Pin=C23-1
Added Pin To Net: NetName=GND Pin=C24-1
Added Pin To Net: NetName=GND Pin=C25-1
Added Pin To Net: NetName=GND Pin=C26-1
Added Pin To Net: NetName=GND Pin=C28-1
Added Pin To Net: NetName=GND Pin=C29-1
Added Pin To Net: NetName=GND Pin=C30-1
Added Pin To Net: NetName=GND Pin=C31-1
Added Pin To Net: NetName=GND Pin=C32-1
Added Pin To Net: NetName=GND Pin=C33-1
Added Pin To Net: NetName=GND Pin=C34-1
Added Pin To Net: NetName=GND Pin=C35-1
Added Pin To Net: NetName=VDDA Pin=C35-2
Added Pin To Net: NetName=GND Pin=C36-1
Added Pin To Net: NetName=VDDA Pin=C36-2
Added Pin To Net: NetName=GND Pin=C37-1
Added Pin To Net: NetName=GND Pin=C38-1
Added Pin To Net: NetName=GND Pin=C39-1
Added Pin To Net: NetName=GND Pin=C40-1
Added Pin To Net: NetName=GND Pin=C41-1
Added Pin To Net: NetName=GND Pin=C42-1
Added Pin To Net: NetName=GND Pin=C43-1
Added Pin To Net: NetName=VDDA Pin=C43-2
Added Pin To Net: NetName=GND Pin=C44-1
Added Pin To Net: NetName=VDDA Pin=C44-2
Added Pin To Net: NetName=GND Pin=C45-1
Added Pin To Net: NetName=5V_INT Pin=C45-2
Added Pin To Net: NetName=GND Pin=C46-1
Added Pin To Net: NetName=GND Pin=C47-1
Added Pin To Net: NetName=VCC Pin=C47-2
Added Pin To Net: NetName=GND Pin=C48-1
Added Pin To Net: NetName=GND Pin=C49-1
Added Pin To Net: NetName=VCC Pin=C49-2
Added Pin To Net: NetName=GND Pin=C50-1
Added Pin To Net: NetName=5V_INT Pin=C50-2
Added Pin To Net: NetName=BOOT Pin=C51-1
Added Pin To Net: NetName=RESETN Pin=C52-1
Added Pin To Net: NetName=GND Pin=C52-2
Added Pin To Net: NetName=X_N Pin=C53-1
Added Pin To Net: NetName=GND Pin=C53-2
Added Pin To Net: NetName=X_P Pin=C54-1
Added Pin To Net: NetName=GND Pin=C54-2
Added Pin To Net: NetName=X32_P Pin=C55-1
Added Pin To Net: NetName=GND Pin=C55-2
Added Pin To Net: NetName=X32_N Pin=C56-1
Added Pin To Net: NetName=GND Pin=C56-2
Added Pin To Net: NetName=GND Pin=D1-1
Added Pin To Net: NetName=MAIN_nFAULT Pin=D1-4
Added Pin To Net: NetName=GND Pin=D2-1
Added Pin To Net: NetName=NetD2_2 Pin=D2-2
Added Pin To Net: NetName=DROGUE_nFAULT Pin=D2-4
Added Pin To Net: NetName=GND Pin=D3-1
Added Pin To Net: NetName=GND Pin=D3-4
Added Pin To Net: NetName=MCU_G_LED Pin=D4-1
Added Pin To Net: NetName=MCU_R_LED Pin=D4-4
Added Pin To Net: NetName=NOT_USED Pin=F4-1
Added Pin To Net: NetName=PRE_PYRO_PWR Pin=F5-1
Added Pin To Net: NetName=VDDA Pin=FB1-2
Added Pin To Net: NetName=GND Pin=J3-3
Added Pin To Net: NetName=GND Pin=J3-4
Added Pin To Net: NetName=GND Pin=J3-5
Added Pin To Net: NetName=GND Pin=J4-3
Added Pin To Net: NetName=GND Pin=J4-4
Added Pin To Net: NetName=GND Pin=J4-5
Add Pin To Net: Unknown Pin: Pin J5-3
Add Pin To Net: Unknown Pin: Pin J5-4
Add Pin To Net: Unknown Pin: Pin J5-5
Added Pin To Net: NetName=SWDIO Pin=J8-02
Added Pin To Net: NetName=GND Pin=J8-03
Added Pin To Net: NetName=SWCLK Pin=J8-04
Added Pin To Net: NetName=GND Pin=J8-05
Added Pin To Net: NetName=SWO Pin=J8-06
Added Pin To Net: NetName=RESETN Pin=J8-10
Added Pin To Net: NetName=MAIN_MATCH Pin=P1-1
Added Pin To Net: NetName=PYRO_PWR_SW Pin=Q1-1
Added Pin To Net: NetName=PYRO_PWR_SW Pin=Q1-2
Added Pin To Net: NetName=PYRO_PWR_SW Pin=Q1-3
Added Pin To Net: NetName=PRE_MAIN_MATCH Pin=Q1-5-6-7-8
Added Pin To Net: NetName=GND Pin=Q2-1
Added Pin To Net: NetName=NetQ2_3 Pin=Q2-3
Added Pin To Net: NetName=PYRO_PWR_SW Pin=Q3-1
Added Pin To Net: NetName=PYRO_PWR_SW Pin=Q3-2
Added Pin To Net: NetName=PYRO_PWR_SW Pin=Q3-3
Added Pin To Net: NetName=PRE_DROGUE_MATCH Pin=Q3-5-6-7-8
Add Pin To Net: Unknown Pin: Pin Q4-4
Add Pin To Net: Unknown Pin: Pin Q4-5-6-7-8
Add Pin To Net: Unknown Pin: Pin Q5-4
Added Pin To Net: NetName=3V3_CUTOFF_MOSFET Pin=Q6-3
Added Pin To Net: NetName=nARM_PYRO Pin=Q7-4
Added Pin To Net: NetName=nARM_PYRO Pin=Q8-4
Added Pin To Net: NetName=PYRO_PWR_SW Pin=Q8-5-6-7-8
Added Pin To Net: NetName=VCC Pin=Q9-2
Added Pin To Net: NetName=MAIN_SENSE Pin=R1-1
Added Pin To Net: NetName=MAIN_MATCH Pin=R1-2
Added Pin To Net: NetName=PYRO_PWR_SW Pin=R3-1
Added Pin To Net: NetName=PRE_MAIN_MATCH Pin=R3-2
Added Pin To Net: NetName=GND Pin=R4-1
Added Pin To Net: NetName=MAIN_SENSE Pin=R4-2
Added Pin To Net: NetName=PYRO_PWR_SW Pin=R5-1
Added Pin To Net: NetName=MAIN_TRIG Pin=R6-2
Added Pin To Net: NetName=GND Pin=R7-1
Added Pin To Net: NetName=MAIN_nFAULT Pin=R8-1
Added Pin To Net: NetName=DROGUE_SENSE Pin=R9-1
Added Pin To Net: NetName=DROGUE_MATCH Pin=R9-2
Added Pin To Net: NetName=NetQ2_3 Pin=R10-2
Added Pin To Net: NetName=PYRO_PWR_SW Pin=R11-1
Added Pin To Net: NetName=PRE_DROGUE_MATCH Pin=R11-2
Added Pin To Net: NetName=GND Pin=R12-1
Added Pin To Net: NetName=DROGUE_SENSE Pin=R12-2
Added Pin To Net: NetName=PYRO_PWR_SW Pin=R13-1
Added Pin To Net: NetName=DROGUE_TRIG Pin=R14-2
Added Pin To Net: NetName=GND Pin=R15-1
Added Pin To Net: NetName=DROGUE_nFAULT Pin=R16-1
Added Pin To Net: NetName=MAIN_TRIG Pin=R17-2
Added Pin To Net: NetName=NetD2_2 Pin=R18-1
Added Pin To Net: NetName=DROGUE_TRIG Pin=R18-2
Added Pin To Net: NetName=NOT_USED Pin=R21-2
Added Pin To Net: NetName=GND Pin=R22-1
Added Pin To Net: NetName=PRE_PYRO_PWR Pin=R23-2
Added Pin To Net: NetName=GND Pin=R24-1
Added Pin To Net: NetName=VCC Pin=R25-2
Added Pin To Net: NetName=GND Pin=R26-1
Added Pin To Net: NetName=VCC Pin=R27-1
Added Pin To Net: NetName=3V3_CUTOFF_MOSFET Pin=R27-2
Added Pin To Net: NetName=3V3_PRE_SHUNT Pin=R28-1
Added Pin To Net: NetName=3V3_POST_SHUNT Pin=R28-2
Added Pin To Net: NetName=3V3_PRE_SHUNT Pin=R29-2
Added Pin To Net: NetName=3V3_POST_SHUNT Pin=R30-2
Added Pin To Net: NetName=GND Pin=R31-1
Added Pin To Net: NetName=CAN_INH Pin=R33-2
Added Pin To Net: NetName=nARM_PYRO Pin=R35-2
Added Pin To Net: NetName=IMU_nRESET Pin=R36-1
Added Pin To Net: NetName=GND Pin=R37-1
Added Pin To Net: NetName=NetC9_2 Pin=R38-1
Added Pin To Net: NetName=GND Pin=R39-1
Added Pin To Net: NetName=NetC9_2 Pin=R39-2
Added Pin To Net: NetName=GND Pin=R42-1
Added Pin To Net: NetName=GND Pin=R44-1
Added Pin To Net: NetName=SWCLK Pin=R47-1
Added Pin To Net: NetName=CAN1_N Pin=R48-1
Added Pin To Net: NetName=CAN1_P Pin=R48-2
Added Pin To Net: NetName=CAN0_N Pin=R49-1
Added Pin To Net: NetName=CAN0_P Pin=R49-2
Added Pin To Net: NetName=VCC Pin=R50-2
Added Pin To Net: NetName=INT_5V_SENSE Pin=R52-1
Added Pin To Net: NetName=5V_INT Pin=R52-2
Added Pin To Net: NetName=GND Pin=R53-1
Added Pin To Net: NetName=INT_5V_SENSE Pin=R53-2
Added Pin To Net: NetName=NetD3_2 Pin=R54-1
Added Pin To Net: NetName=NetD3_3 Pin=R55-1
Added Pin To Net: NetName=CAN_INH Pin=R56-2
Added Pin To Net: NetName=BOOT Pin=R57-1
Added Pin To Net: NetName=RESETN Pin=R58-1
Added Pin To Net: NetName=VCC Pin=R59-2
Added Pin To Net: NetName=NetD4_2 Pin=R60-1
Added Pin To Net: NetName=GND Pin=R61-1
Added Pin To Net: NetName=BOOT Pin=R61-2
Added Pin To Net: NetName=RESETN Pin=R62-2
Added Pin To Net: NetName=NetD4_3 Pin=R63-1
Added Pin To Net: NetName=PYRO_PWR_SW Pin=R64-2
Added Pin To Net: NetName=GND Pin=R65-1
Added Pin To Net: NetName=PRE_MAIN_MATCH Pin=U1-1
Added Pin To Net: NetName=PRE_MAIN_MATCH Pin=U1-2
Added Pin To Net: NetName=MAIN_MATCH Pin=U1-3
Added Pin To Net: NetName=MAIN_MATCH Pin=U1-4
Added Pin To Net: NetName=GND Pin=U1-5
Added Pin To Net: NetName=MAIN_nFAULT Pin=U1-6
Added Pin To Net: NetName=GND Pin=U1-7
Added Pin To Net: NetName=GND Pin=U1-8
Added Pin To Net: NetName=GND Pin=U1-9
Added Pin To Net: NetName=GND Pin=U1-10
Added Pin To Net: NetName=MAIN_I_SENSE Pin=U1-11
Added Pin To Net: NetName=PRE_DROGUE_MATCH Pin=U2-1
Added Pin To Net: NetName=PRE_DROGUE_MATCH Pin=U2-2
Added Pin To Net: NetName=DROGUE_MATCH Pin=U2-3
Added Pin To Net: NetName=DROGUE_MATCH Pin=U2-4
Added Pin To Net: NetName=GND Pin=U2-5
Added Pin To Net: NetName=DROGUE_nFAULT Pin=U2-6
Added Pin To Net: NetName=GND Pin=U2-7
Added Pin To Net: NetName=GND Pin=U2-8
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-10
Added Pin To Net: NetName=DROGUE_I_SENSE Pin=U2-11
Added Pin To Net: NetName=GND Pin=U3-2
Added Pin To Net: NetName=3V3_POST_SHUNT Pin=U3-3
Added Pin To Net: NetName=SHDN_3V3 Pin=U3-5
Added Pin To Net: NetName=VCC Pin=U3-6
Added Pin To Net: NetName=BARO_MOSI Pin=U4-1
Added Pin To Net: NetName=GND Pin=U4-2
Added Pin To Net: NetName=GND Pin=U4-3
Added Pin To Net: NetName=GND Pin=U4-4
Added Pin To Net: NetName=GND Pin=U4-5
Added Pin To Net: NetName=GND Pin=U4-7
Added Pin To Net: NetName=BARO_MISO Pin=U4-9
Added Pin To Net: NetName=IMU_ODR Pin=U4-12
Added Pin To Net: NetName=GND Pin=U4-14
Added Pin To Net: NetName=GND Pin=U4-15
